Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
51,201,381,177,36,27,31,40
58,211,402,177,41,34,37,48
67,255,415,194,43,34,45,63
69,270,428,213,42,34,63,106
79,272,466,230,43,36,103,168
83,269,425,230,40,35,109,177
81,274,441,233,38,29,111,235
76,244,428,220,37,29,109,234
89,206,418,204,37,28,102,228
79,221,353,191,34,30,96,221
75,238,395,217,37,29,103,223
82,268,328,224,37,28,104,170
90,278,319,222,40,32,125,180
81,278,319,224,41,33,127,174
92,257,301,251,45,29,119,152
103,282,223,276,44,56,215,235
105,282,264,354,46,60,235,249
108,268,300,361,44,58,238,251
111,285,282,382,48,58,250,262
117,318,265,353,48,64,263,267
124,376,250,320,46,42,189,197
119,416,230,268,50,44,187,192
130,492,244,263,50,49,198,207
141,510,248,228,46,53,191,195
135,499,242,211,44,47,176,193
118,443,238,207,43,49,176,189
119,391,210,140,36,43,151,171
96,301,207,140,37,37,108,136
67,240,225,115,34,31,87,127
49,222,232,105,31,26,56,86
50,232,316,100,36,27,45,70
43,242,337,109,36,27,36,53
49,227,317,102,35,26,33,45
50,229,426,106,33,27,28,35
47,220,478,111,36,28,27,31
52,201,581,132,34,27,32,32
59,199,704,129,36,29,44,36
56,198,724,153,40,30,45,35
62,199,687,159,43,30,46,37
61,212,677,163,44,31,45,37
56,195,567,146,42,29,43,35
50,166,417,174,44,27,33,34
47,181,403,172,41,25,30,32
46,174,436,169,40,23,31,32
57,204,411,165,38,22,32,43
63,224,398,175,42,24,70,93
67,238,392,153,42,32,97,108
75,287,354,130,40,36,130,131
71,296,252,136,40,37,139,143
66,266,286,175,42,38,143,150
62,282,357,175,36,36,129,129
57,277,379,164,31,27,112,117
44,218,381,167,29,24,88,100
49,241,375,179,29,26,94,114
47,256,327,164,32,30,124,128
49,238,274,185,37,39,166,178
48,258,244,191,37,39,171,184
49,264,335,194,37,40,167,182
43,231,357,175,38,37,156,164
45,219,442,160,37,34,129,145
37,200,437,122,34,25,66,71
38,164,414,112,33,26,45,52
